p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
1.83817613238813e-48,0.597003218635471,0.92,0.667,5.75367511198807e-44,0,TRIM2
3.33437445282783e-48,0.49097401226323,0.976,0.822,1.04369254747964e-43,0,CLASP2
7.2124788333313e-48,0.70044648079649,0.894,0.511,2.25757799962103e-43,0,TMEFF2
7.99851498423828e-48,0.565587723525082,0.976,0.621,2.50361517521642e-43,0,ELMO1
8.77188383253458e-48,0.664975747601196,0.578,0.201,2.74568735842165e-43,0,LDB3
1.10642739887953e-47,0.618454200091038,0.928,0.608,3.46322840123282e-43,0,PTPRK
2.6813253551981e-47,0.628255306340403,0.934,0.581,8.39281649430558e-43,0,PLCL1
3.24103373333596e-47,-0.893593746056534,0.116,0.492,1.01447596887149e-42,0,EEF1A1
6.03806793885238e-46,0.678728386015746,0.779,0.416,1.88997564554018e-41,0,AGPAT4
8.3102981437707e-46,0.717882293529922,0.801,0.443,2.60120642198167e-41,0,CNTNAP4
2.20921555731505e-45,0.572892139402537,0.97,0.699,6.91506561595183e-41,0,TMTC2
3.46313991342913e-45,0.550108170085405,0.994,0.633,1.08399742430245e-40,0,ANK3
3.63129398399969e-45,0.553399748465868,0.974,0.686,1.13663132993174e-40,0,PTPRD
6.08370546208029e-45,0.674035500761394,0.865,0.581,1.90426064668575e-40,0,CDK19
1.36043301970471e-44,0.592202907162383,0.952,0.593,4.25829139497772e-40,0,MARCH1
3.78419890517214e-44,0.50493137755477,0.958,0.783,1.18449209930793e-39,0,EXOC6B
5.5831929322815e-44,-2.31606334572248,0.038,0.367,1.74759521973343e-39,0,PITPNC1
8.00798564658609e-44,0.772563391469483,0.683,0.313,2.50657958723791e-39,0,LINC01170
8.57405815399379e-44,-1.66603593331465,0.01,0.328,2.6837659427816e-39,0,NEBL
8.70969574563533e-44,0.609662739964233,0.9,0.532,2.72622186534131e-39,0,PALM2-AKAP2
1.30609043402509e-43,-2.50585845961446,0.042,0.367,4.08819366754194e-39,0,NRG3
5.21821942098773e-43,0.55451337331561,0.677,0.315,1.63335486096337e-38,0,CLIP2
5.69139197611436e-43,0.558736551785239,0.906,0.482,1.78146260244356e-38,0,ENPP2
9.206375995371e-43,-1.28401255586756,0.012,0.327,2.88168775031108e-38,0,KCNMA1
1.06391152439332e-42,0.803416991262447,0.699,0.38,3.33014946250354e-38,0,LINC00609
1.85983242897966e-42,0.72016328913556,0.703,0.361,5.82146148594924e-38,0,KIF6
1.87282024879513e-42,-0.760535201779367,0.036,0.361,5.86211466075365e-38,0,CD81
1.95297141337519e-42,0.55990323354332,0.966,0.573,6.11299582100569e-38,0,EDIL3
2.1149150280851e-42,0.589667326101779,0.829,0.523,6.61989552940917e-38,0,COBL
3.64040418835052e-42,-0.816809293870314,0.038,0.365,1.1394829149956e-37,0,RPL13A
4.52815119751482e-42,0.574871001539079,0.918,0.526,1.41735660633411e-37,0,PDE1C
5.58159540365548e-42,0.930861579752374,0.576,0.237,1.7470951772982e-37,0,AC008571.2
8.42534606882941e-42,-1.17181763908891,0.056,0.385,2.63721757300429e-37,0,CLU
1.08244181465645e-41,0.53207979727581,0.966,0.792,3.38815112405616e-37,0,NCKAP5
1.09644888178184e-41,0.634701639332799,0.743,0.378,3.43199464486533e-37,0,ASPA
2.26444659673138e-41,-0.837112342224528,0.108,0.455,7.0879442924289e-37,0,GAPDH
4.4609377337677e-41,-2.01568322252756,0.034,0.344,1.39631812004663e-36,0,SOX5
5.13051416404957e-41,-0.854422509586818,0.233,0.568,1.60590223848916e-36,0,ACTB
6.27416532361722e-41,-1.78434740712341,0.042,0.353,1.96387648794543e-36,0,FAM155A
7.259575522076e-41,0.590557977316283,0.886,0.656,2.27231973416501e-36,0,OTUD7A
7.66472023419122e-41,1.11690925870943,0.408,0.121,2.39913408050419e-36,0,SLC5A11
9.18711060691348e-41,-2.59593115665248,0.076,0.391,2.87565749106999e-36,0,GPM6A
9.85480867976416e-41,0.520131182275448,0.876,0.64,3.08465366485298e-36,0,SSH2
3.20731004765764e-40,-1.12324739516269,0.012,0.311,1.00392011801732e-35,0,MAP3K5
3.21162245339348e-40,0.895257450517823,0.504,0.187,1.00526994413669e-35,0,LURAP1L-AS1
3.44329302075765e-40,0.463989214553426,0.93,0.747,1.07778514842735e-35,0,FNBP1
4.51404881357093e-40,0.514679579778361,0.908,0.722,1.41294241913584e-35,0,DIP2C
5.18376778403231e-40,0.500604984800176,0.94,0.68,1.62257115407995e-35,0,AKAP6
2.77616624295881e-39,0.773924220192849,0.488,0.168,8.68967795708537e-35,0,PDE1A
3.26706942093785e-39,-1.41152162991401,0.01,0.301,1.02262539944776e-34,0,ADCY2
3.46062744359108e-39,0.835042937081219,0.641,0.314,1.08321099611845e-34,0,KLHL4
4.38156442914999e-39,0.552320061079414,0.89,0.536,1.37147348196824e-34,0,DNAJC6
4.93186026025488e-39,-0.72886405265404,0.036,0.344,1.54372158006238e-34,0,RPS28
5.01426120276636e-39,0.854481779116781,0.412,0.119,1.5695138990779e-34,0,SH3TC2-DT
5.42572734123487e-39,-1.80247192220319,0.03,0.329,1.69830691507993e-34,0,TENM2
6.12288666411756e-39,0.454001206932341,0.974,0.802,1.91652475473544e-34,0,DNM3
7.06953431146248e-39,0.619948689546297,0.757,0.434,2.21283493483087e-34,0,JAM3
8.13102231195219e-39,0.504295721455411,0.956,0.802,2.54509129386416e-34,0,TCF12
8.56469064880502e-39,0.626017425221967,0.743,0.435,2.68083381998246e-34,0,AATK
9.43065285817357e-39,-0.835084571899424,0.08,0.4,2.95188865113691e-34,0,CKB
1.15695008904204e-38,0.767520621337492,0.566,0.236,3.6213694737105e-34,0,AC090015.1
2.84944748150445e-38,-1.16454527102057,0.006,0.29,8.91905556185709e-34,0,ZEB1
3.12637111430828e-38,-1.37063703214427,0.028,0.321,9.78585422489636e-34,0,NRCAM
3.85704093637494e-38,0.631473631675534,0.739,0.417,1.20729238349472e-33,0,PPM1H
4.46428863617811e-38,-1.18431132491793,0.016,0.304,1.39736698601011e-33,0,PTPRG
6.55745115363581e-38,0.573699530321911,0.831,0.524,2.05254778559955e-33,0,LPGAT1
7.02261299622927e-38,-0.703980840691519,0.042,0.344,2.19814809394972e-33,0,RPS15
1.02896738618559e-37,0.535940968400844,0.894,0.521,3.22077081549952e-33,0,CREB5
1.66994770650665e-37,0.527283413593245,0.785,0.521,5.22710331613646e-33,0,ITCH
3.15078858265138e-37,0.510987271731215,0.608,0.267,9.86228334255707e-33,0,ARHGAP23
4.51801958470238e-37,-1.79895136427372,0.006,0.281,1.41418531020769e-32,0,NKAIN3
4.61885868972425e-37,0.609136441241943,0.482,0.175,1.44574895847059e-32,0,AFMID
7.05438084816126e-37,-0.764214520231387,0.084,0.393,2.20809174928296e-32,0,H3F3B
9.54459414086456e-37,-1.10001106322079,0.004,0.275,2.98755341203201e-32,0,CSGALNACT1
9.66530721242107e-37,-1.1025827856766,0.231,0.545,3.02533781055992e-32,0,ITPR2
1.22504494981565e-36,0.580294738430071,0.641,0.316,3.83451319741796e-32,0,GLDN
1.23447513589523e-36,-0.736149320057437,0.076,0.384,3.86403062286568e-32,0,RPL13
1.78608037327767e-36,0.666268548882282,0.687,0.376,5.59061017639644e-32,0,SLC22A15
2.72352751539976e-36,-1.53131763304336,0.018,0.295,8.52491347595279e-32,0,ABLIM1
3.71465213077823e-36,0.569408464577307,0.827,0.552,1.16272326345489e-31,0,CACNA2D1
4.5241616196743e-36,-1.39963265264893,0.004,0.271,1.41610782857425e-31,0,PTPRZ1
5.03998977088194e-36,-1.50005822671791,0.038,0.322,1.57756719818375e-31,0,PLCB1
5.26083919280224e-36,0.477780495906868,0.882,0.599,1.64669527573903e-31,0,SORT1
6.22290073542261e-36,0.467360066974656,0.819,0.445,1.94783015919463e-31,0,BCAS1
